slug,Store Name,City,Province,Rating,Google address (verify match)
wally-s-pro-sports-cards-vancouver,Wally's Pro Sports Cards,Vancouver,BC,4.6 (215),"2646 E Hastings St, Vancouver, BC V5K 1Z6, Canada"
omar-s-collectibles-vernon,Omar's Collectibles,Vernon,BC,4.8 (121),"3404 31 Ave, Vernon, BC V1T 7L3, Canada"
epic-games-more-victoria,Epic Games & More,Victoria,BC,4.6 (798),"776 Hillside Ave, Victoria, BC V8T 1Z6, Canada"
gauntlet-games-victoria,Gauntlet Games,Victoria,BC,4.7 (298),"1633 Hillside Ave #103, Victoria, BC V8T 2C4, Canada"
triple-play-sports-cards-victoria,Triple Play Sports Cards,Victoria,BC,4.2 (101),"1209 Wharf St, Victoria, BC V8W 1T9, Canada"
inner-hero-collectibles-brandon,Inner Hero Collectibles,Brandon,MB,4.9 (339),"1911 Richmond Ave, Brandon, MB R7B 2M5, Canada"
cancentral-sports-cards-memorabilia-winnipeg,CanCentral Sports Cards & Memorabilia,Winnipeg,MB,4.4 (166),"995 Milt Stegall Dr #101, Winnipeg, MB R3G 3H7, Canada"
first-row-collectibles-winnipeg,First Row Collectibles,Winnipeg,MB,4.8 (78),"1835 Main St, Winnipeg, MB R2V 2A4, Canada"
fusion-gaming-winnipeg,Fusion Gaming,Winnipeg,MB,4.6 (681),"1473 Pembina Hwy, Winnipeg, MB R3T 2C5, Canada"
joe-daley-s-sports-framing-winnipeg,Joe Daley's Sports & Framing,Winnipeg,MB,4.9 (111),"513 St Mary's Rd, Winnipeg, MB R2M 3L2, Canada"
lower-level-sports-cards-collectibles-winnipeg,Lower Level Sports Cards & Collectibles,Winnipeg,MB,4.4 (63),"189 Henderson Hwy, Winnipeg, MB R2L 1L7, Canada"
manitobatcg-winnipeg,ManitobaTCG,Winnipeg,MB,4.8 (65),"114 Regent Ave E, Winnipeg, MB R2C 0C1, Canada"
b-t-sportscards-gaming-bathurst,B&T Sportscards & Gaming,Bathurst,NB,5 (5),"275 Douglas Ave, Bathurst, NB E2A 1N1, Canada"
gamezilla-bathurst-bathurst,GameZilla Bathurst,Bathurst,NB,4.4 (101),"1000 St Peter Ave, Bathurst, NB E2A 2Z7, Canada"
merchant-s-shop-la-shop-du-marchand-merchant-s-inventory-bathurst,Merchant's Shop (La Shop du Marchand / Merchant's Inventory),Bathurst,NB,4.8 (55),"405 Rue MacDonald Ste 1, Bathurst, NB E2A 5A6, Canada"
gamezilla-fredericton-fredericton,GameZilla Fredericton,Fredericton,NB,4.4 (258),"1211 Prospect St, Fredericton, NB E3B 3B9, Canada"
boutique-nostalgies-lameque,Boutique Nostalgies,Lamèque,NB,4.7 (21),"83 Rue du Pêcheur N, Lamèque, NB E8T 1K5, Canada"
d-m-sports-cards-moncton,D&M Sports Cards,Moncton,NB,4.7 (122),"34 Plaza Blvd, Moncton, NB E1C 0E8, Canada"
trading-card-warehouse-moncton,Trading Card Warehouse,Moncton,NB,4.6 (54),"102 St. George St, Moncton, NB E1C 1T8, Canada"
cardboard-slingers-collectables-oromocto,Cardboard Slingers Collectables,Oromocto,NB,4 (27),"285 Restigouche Rd, Oromocto, NB E2V 2H2, Canada"
fundy-coins-and-collectibles-saint-john,Fundy Coins and Collectibles,Saint John,NB,4.8 (56),"78 Main St W, Saint John, NB E2M 3N3, Canada"
