slug,name,city,province,google_rating,google_reviews,google_addr
elsewhere-gaming-hobbies-new-minas,"Elsewhere Gaming & Hobbies","New Minas",NS,4.8,54,"8785 Commercial St, New Minas, NS B4N 3C4"
brackenberries-pvp-alliston-new-tecumseth,"Brackenberries PvP","Alliston (New Tecumseth)",ON,5.0,35,"103 Victoria St W Unit 2 (upstairs, Alliston, ON L9R 1T5"
sell-your-pokemon-cards-barrie,"Sell Your Pokemon Cards","Barrie",ON,,,"22024 RPO, Big Bay Point Rd, Barrie, ON L4N 0Z5"
mystic-dragon-beamsville,"Mystic Dragon","Beamsville",ON,4.8,91,"4548 Ontario St, Beamsville, ON L3J 0B7"
stadium-sports-cards-blenheim-chatham-kent,"Stadium Sports Cards","Blenheim (Chatham-Kent)",ON,4.4,22,""
muskoka-cards-collectibles-bracebridge,"Muskoka Cards & Collectibles","Bracebridge",ON,4.6,58,""
gt-games-carleton-place,"GT Games","Carleton Place",ON,4.6,241,"10 Franklin St, Carleton Place, ON K7C 2V4"
treasures-n-more-carleton-place,"Treasures 'N' More","Carleton Place",ON,,,
rockets-sports-cards-chatham-chatham-kent,"Rockets Sports Cards","Chatham (Chatham-Kent)",ON,4.4,77,"335 Queen St, Chatham, ON N7M 2H7"
instant-replay-sportscards-cobourg,"Instant Replay SportsCards","Cobourg",ON,4.1,87,""
onyx-cards-games-collingwood,"Onyx Cards & Games","Collingwood",ON,4.7,44,""
dave-s-sportscard-shop-cornwall,"Dave's Sportscard Shop","Cornwall",ON,,,
webber-s-balloons-cards-and-collectibles-dundas,""Webber's Balloons"," Cards and Collectibles"",Dundas,,,
rt-sports-cards-r-t-sport-cards-collectibles-dunnville,"RT Sports Cards (R/T Sport Cards & Collectibles)","Dunnville",ON,4.9,58,"1410 Cassells St, North Bay, ON P1B 4C1"
studio-151-fort-erie,"Studio 151","Fort Erie",ON,5.0,126,"695 Garrison Rd, Fort Erie, ON L2A 4K2"
tabletop-giant-mtg-north-goderich,"Tabletop Giant (MTG North)","Goderich",ON,4.6,130,"155 Anglesea St Unit C, Goderich, ON N7A 1V5"
prospects-antiques-sports-cards-gravenhurst,"Prospects Antiques & Sports Cards","Gravenhurst",ON,,,"130 Muskoka Rd S, Gravenhurst, ON P1P 1H4"
slab-labs-tcg-greater-sudbury,"Slab Labs TCG","Greater Sudbury",ON,,,"4665 Notre Dame Ave, Hanmer, ON P3P 1X5"
tcm-the-card-mann-sports-cards-pokemon-grimsby,"TCM - The Card Mann Sports Cards Pokemon","Grimsby",ON,,,"63 Main St W, Grimsby, ON L3M 4H1"
xtreme-collectables-grimsby,"Xtreme Collectables","Grimsby",ON,4.5,124,"50 Main St W, Grimsby, ON L3M 1R4"
scahub-marketplace-guelph,"SCAHub Marketplace","Guelph",ON,,,"585 Hanlon Creek Boulevard Unit 24, Guelph, ON N1C 0A1"
lasting-memories-locker-room-hanover,"Lasting Memories Locker Room","Hanover",ON,4.8,41,"318 10th St, Hanover, ON N4N 1P3"
player-x-kapuskasing,"Player X","Kapuskasing",ON,,,"4 Byng Ave, Kapuskasing, ON P5N 1W3"
great-canadian-collectibles-kenora,"Great Canadian Collectibles","Kenora",ON,3.8,12,"103 Main St S, Kenora, ON P9N 1T1"
north-western-games-kenora,"North-Western Games","Kenora",ON,4.7,9,"103 Main St S, Kenora, ON P9N 1T1"
mmlorcana-kingston,"MMLorcana","Kingston",ON,5.0,1,"19 Macpherson Ave Unit 11, Kingston, ON K7M 6W4"
northern-sports-cards-lindsay-kawartha-lakes,"Northern Sports Cards","Lindsay (Kawartha Lakes)",ON,,,""
the-trading-card-store-lindsay-lindsay-kawartha-lakes,"The Trading Card Store Lindsay","Lindsay (Kawartha Lakes)",ON,4.5,60,"370 Kent St W #4, Lindsay, ON K9V 6G8"
