name,city,province,website,other_category,status,verdict,strong_hits,weak_hits
Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,http://hitimes.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Pokanada (Sealed Pokemon section inside pharmacy),London,ON,http://www.pokanada.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Seven Sisters Ritual Apothecary,London,ON,http://sevensisters.ca/,sporting goods,200,NO-CARD-EVIDENCE,,
Warhammer,London,ON,https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,no category matched,202,NO-CARD-EVIDENCE,,
A&J Hobbies,Markham,ON,http://www.hobbyprosdepot.com/,rc,200,AMBIGUOUS,,\bhobby\b
Advance RC & Hobbies,Markham,ON,https://advancerc.ca/,gundam/models;diecast,200,NO-CARD-EVIDENCE,,
Five Dragons hobbies,Markham,ON,https://www.fivedragonshobby.ca/,no category matched,200,AMBIGUOUS,,\bhobby\b
Horizon Diecast,Markham,ON,https://horizondiecast.com/,diecast,200,NO-CARD-EVIDENCE,,
Not A Hobby Shop & Goose Guzzu Mart,Markham,ON,https://www.notahobby.shop/,gundam/models,200,AMBIGUOUS,,\bhobby\b
Panda Hobby - Canada's Largest Gundam Store,Markham,ON,http://www.pandahobby.ca/,gundam/models;sporting goods,200,AMBIGUOUS,,\bcards?\b|\bhobby\b
Professional Sports Authenticator - PSA Canada,Mississauga,ON,https://www.psacard.com/,no category matched,200,AMBIGUOUS,,\bcards?\b|collectib
Aces Cool Collectibles,North Bay,ON,https://www.ebay.ca/str/acescoolcollectibles,no category matched,200,CARDS-CONFIRMED,\btopps\b|\bwax\s*(box|pack)\b|baseball\s*cards?|psa\s*(graded|slab|10|9)|trading\s*cards?,\bcards?\b|\bcomics?\b|collectib
Addictive Hobbies & Games,Oshawa,ON,https://addictivehobbies.wixsite.com/website,no category matched,200,NO-CARD-EVIDENCE,,
Comic Alley Toys,Oshawa,ON,https://linktr.ee/comicalleytoys?utm_source=linktree_profile_share&ltsid=f56cfd19-af61-4c35-9f99-4ebb1ad7093f,no category matched,200,AMBIGUOUS,,\bcomics?\b
"Fly By Nite Movies, Games, and Toys",Oshawa,ON,https://flybynitecollectibles.square.site/,no category matched,200,NO-CARD-EVIDENCE,,
GNU Books,Oshawa,ON,http://www.gnubooks.net/,no category matched,200,NO-CARD-EVIDENCE,,
Great Hobbies,Oshawa,ON,http://www.greathobbies.com/,gundam/models;diecast;rc,200,AMBIGUOUS,,\bcards?\b
Over The Top Gaming,Oshawa,ON,https://overthetopgaming.ca/,gundam/models,200,AMBIGUOUS,,\bhobby\b
The 3D Shoppe,Oshawa,ON,http://the3dshoppe.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Worlds Collide,Oshawa,ON,http://www.worldscollide.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Xtreme R/C & Raceways,Oshawa,ON,https://www.xtremerc.ca/,no category matched,200,AMBIGUOUS,,\bhobby\b
Buying Sports Cards & Comics,Ottawa,ON,http://cardandcomicbuyer.com/,no category matched,200,AMBIGUOUS,,\bcards?\b|\bcomics?\b
Entertainment Ink!,Ottawa,ON,https://entertainmentink.ca/,no category matched,http-429,UNREACHABLE,,
